page_num,text,fontname,size,top_x0_pt,top_y0_pt,top_x1_pt,top_y1_pt,pdf_x0_pt,pdf_y0_pt,pdf_x1_pt,pdf_y1_pt,center_x_pt,center_y_top_pt,center_y_pdf_pt,page_width_pt,page_height_pt
1,i,BCDFEE+Arial-BoldMT,11.0,323.09900000000005,36.20999999999992,326.15700000000004,47.20999999999992,323.09900000000005,794.6900244140626,326.15700000000004,805.6900244140626,324.62800000000004,41.70999999999992,800.1900244140626,595.2999877929688,841.9000244140625
1,l,BCDFEE+Arial-BoldMT,11.0,326.08000000000004,36.20999999999992,329.13800000000003,47.20999999999992,326.08000000000004,794.6900244140626,329.13800000000003,805.6900244140626,327.60900000000004,41.70999999999992,800.1900244140626,595.2999877929688,841.9000244140625
1,i,BCDFEE+Arial-BoldMT,11.0,329.17100000000005,36.20999999999992,332.22900000000004,47.20999999999992,329.17100000000005,794.6900244140626,332.22900000000004,805.6900244140626,330.70000000000005,41.70999999999992,800.1900244140626,595.2999877929688,841.9000244140625
1,p,BCDFEE+Arial-BoldMT,11.0,332.26200000000006,36.20999999999992,338.98300000000006,47.20999999999992,332.26200000000006,794.6900244140626,338.98300000000006,805.6900244140626,335.62250000000006,41.70999999999992,800.1900244140626,595.2999877929688,841.9000244140625
1,p,BCDFEE+Arial-BoldMT,11.0,338.98300000000006,36.20999999999992,345.70400000000006,47.20999999999992,338.98300000000006,794.6900244140626,345.70400000000006,805.6900244140626,342.34350000000006,41.70999999999992,800.1900244140626,595.2999877929688,841.9000244140625
1,i,BCDFEE+Arial-BoldMT,11.0,345.6600000000001,36.20999999999992,348.7180000000001,47.20999999999992,345.6600000000001,794.6900244140626,348.7180000000001,805.6900244140626,347.1890000000001,41.70999999999992,800.1900244140626,595.2999877929688,841.9000244140625
1,n,BCDFEE+Arial-BoldMT,11.0,348.7510000000001,36.20999999999992,355.4720000000001,47.20999999999992,348.7510000000001,794.6900244140626,355.4720000000001,805.6900244140626,352.1115000000001,41.70999999999992,800.1900244140626,595.2999877929688,841.9000244140625
1,e,BCDFEE+Arial-BoldMT,11.0,355.4720000000001,36.20999999999992,361.5880000000001,47.20999999999992,355.4720000000001,794.6900244140626,361.5880000000001,805.6900244140626,358.5300000000001,41.70999999999992,800.1900244140626,595.2999877929688,841.9000244140625
1,s,BCDFEE+Arial-BoldMT,11.0,361.55500000000006,36.20999999999992,367.6710000000001,47.20999999999992,361.55500000000006,794.6900244140626,367.6710000000001,805.6900244140626,364.61300000000006,41.70999999999992,800.1900244140626,595.2999877929688,841.9000244140625
1, ,BCDFEE+Arial-BoldMT,11.0,367.75,36.20999999999992,370.808,47.20999999999992,367.75,794.6900244140626,370.808,805.6900244140626,369.279,41.70999999999992,800.1900244140626,595.2999877929688,841.9000244140625
1,P,BCDGEE+TrajanPro-Bold,12.0,176.43,50.0,184.146,62.0,176.43,779.9000244140625,184.146,791.9000244140625,180.288,56.0,785.9000244140625,595.2999877929688,841.9000244140625
1,H,BCDGEE+TrajanPro-Bold,12.0,184.314,50.0,195.84600000000003,62.0,184.314,779.9000244140625,195.84600000000003,791.9000244140625,190.08,56.0,785.9000244140625,595.2999877929688,841.9000244140625
1,I,BCDGEE+TrajanPro-Bold,12.0,196.002,50.0,201.294,62.0,196.002,779.9000244140625,201.294,791.9000244140625,198.64800000000002,56.0,785.9000244140625,595.2999877929688,841.9000244140625
1,L,BCDGEE+TrajanPro-Bold,12.0,201.39,50.0,208.50600000000003,62.0,201.39,779.9000244140625,208.50600000000003,791.9000244140625,204.948,56.0,785.9000244140625,595.2999877929688,841.9000244140625
1,I,BCDGEE+TrajanPro-Bold,12.0,208.674,50.0,213.966,62.0,208.674,779.9000244140625,213.966,791.9000244140625,211.32,56.0,785.9000244140625,595.2999877929688,841.9000244140625
1,P,BCDGEE+TrajanPro-Bold,12.0,214.062,50.0,221.778,62.0,214.062,779.9000244140625,221.778,791.9000244140625,217.92000000000002,56.0,785.9000244140625,595.2999877929688,841.9000244140625
1,P,BCDGEE+TrajanPro-Bold,12.0,221.946,50.0,229.662,62.0,221.946,779.9000244140625,229.662,791.9000244140625,225.804,56.0,785.9000244140625,595.2999877929688,841.9000244140625
1,I,BCDGEE+TrajanPro-Bold,12.0,229.83,50.0,235.122,62.0,229.83,779.9000244140625,235.122,791.9000244140625,232.476,56.0,785.9000244140625,595.2999877929688,841.9000244140625
1,N,BCDGEE+TrajanPro-Bold,12.0,235.122,50.0,246.498,62.0,235.122,779.9000244140625,246.498,791.9000244140625,240.81,56.0,785.9000244140625,595.2999877929688,841.9000244140625
1,E,BCDGEE+TrajanPro-Bold,12.0,246.498,50.0,253.83,62.0,246.498,779.9000244140625,253.83,791.9000244140625,250.164,56.0,785.9000244140625,595.2999877929688,841.9000244140625
