page_num,block,line,word_no,text,top_x0_pt,top_y0_pt,top_x1_pt,top_y1_pt,pdf_x0_pt,pdf_y0_pt,pdf_x1_pt,pdf_y1_pt,center_x_pt,center_y_top_pt,center_y_pdf_pt,page_width_pt,page_height_pt
1,6,0,4,(Middle),480.2699890136719,125.4700164794922,516.280029296875,136.62002563476562,480.2699890136719,705.2799987792969,516.280029296875,716.4300079345703,498.27500915527344,131.0450210571289,710.8550033569336,595.2999877929688,841.9000244140625
1,7,0,0,3.,36.0,157.27000427246094,44.369998931884766,168.42001342773438,36.0,673.4800109863281,44.369998931884766,684.6300201416016,40.18499946594238,162.84500885009766,679.0550155639648,595.2999877929688,841.9000244140625
1,7,0,1,DATE,47.17999649047852,157.27000427246094,73.8499984741211,168.42001342773438,47.17999649047852,673.4800109863281,73.8499984741211,684.6300201416016,60.514997482299805,162.84500885009766,679.0550155639648,595.2999877929688,841.9000244140625
1,7,0,2,OF,76.56999206542969,157.27000427246094,90.45999145507812,168.42001342773438,76.56999206542969,673.4800109863281,90.45999145507812,684.6300201416016,83.5149917602539,162.84500885009766,679.0550155639648,595.2999877929688,841.9000244140625
1,7,0,3,FILING:,93.2599868774414,157.27000427246094,128.3000030517578,168.42001342773438,93.2599868774414,673.4800109863281,128.3000030517578,684.6300201416016,110.77999496459961,162.84500885009766,679.0550155639648,595.2999877929688,841.9000244140625
1,7,1,0,4.,232.8300018310547,157.3700408935547,241.1999969482422,168.52005004882812,232.8300018310547,673.3799743652344,241.1999969482422,684.5299835205078,237.01499938964844,162.9450454711914,678.9549789428711,595.2999877929688,841.9000244140625
1,7,1,1,POSITION,244.00999450683597,157.3700408935547,291.8099975585937,168.52005004882812,244.00999450683597,673.3799743652344,291.8099975585937,684.5299835205078,267.90999603271484,162.9450454711914,678.9549789428711,595.2999877929688,841.9000244140625
1,7,2,0,5.,413.8500061035156,157.3700408935547,422.2200012207031,168.52005004882812,413.8500061035156,673.3799743652344,422.2200012207031,684.5299835205078,418.0350036621094,162.9450454711914,678.9549789428711,595.2999877929688,841.9000244140625
1,7,2,1,SALARY,425.0299987792969,157.3700408935547,464.4800415039063,168.52005004882812,425.0299987792969,673.3799743652344,464.4800415039063,684.5299835205078,444.75502014160156,162.9450454711914,678.9549789428711,595.2999877929688,841.9000244140625
1,8,0,0,6.,221.42999267578125,179.3700408935547,229.79998779296875,190.52005004882807,221.42999267578125,651.3799743652344,229.79998779296875,662.5299835205078,225.614990234375,184.94504547119138,656.9549789428711,595.2999877929688,841.9000244140625
